LOCRIAN,10,170
LOCRIAN,10,296
LOCRIAN,10,38
LOCRIAN,10,63
LOCRIAN,10,32
LOCRIAN,10,146
LOCRIAN,10,201
LOCRIAN,10,714
LOCRIAN,10,28
LOCRIAN,10,68
LOCRIAN,10,176
LOCRIAN,10,543
LOCRIAN,10,29
LOCRIAN,10,323
LOCRIAN,10,49
LOCRIAN,10,63
LOCRIAN,10,403
LOCRIAN,10,89
LOCRIAN,10,185
LOCRIAN,10,432
LOCRIAN,10,70
LOCRIAN,10,35
LOCRIAN,10,86
LOCRIAN,10,425
LOCRIAN,10,165
LOCRIAN,10,135
LOCRIAN,10,561
LOCRIAN,10,65
LOCRIAN,10,3
LOCRIAN,10,809
LOCRIAN,10,148
LOCRIAN,10,220
LOCRIAN,10,76
LOCRIAN,10,20
LOCRIAN,10,95
LOCRIAN,10,99
LOCRIAN,10,238
LOCRIAN,10,196
LOCRIAN,10,315
LOCRIAN,10,282
LOCRIAN,10,330
LOCRIAN,10,173
LOCRIAN,10,11
LOCRIAN,10,483
LOCRIAN,10,273
LOCRIAN,10,108
LOCRIAN,10,212
LOCRIAN,10,100
LOCRIAN,10,115
LOCRIAN,10,55
LOCRIAN,10,137
LOCRIAN,10,467
LOCRIAN,10,462
LOCRIAN,10,40
LOCRIAN,10,750
LOCRIAN,10,41
LOCRIAN,10,939
LOCRIAN,10,357
LOCRIAN,10,23
LOCRIAN,10,5
LOCRIAN,10,248
LOCRIAN,10,25
LOCRIAN,10,122
LOCRIAN,10,69
LOCRIAN,10,457
LOCRIAN,10,100
LOCRIAN,10,247
LOCRIAN,10,50
LOCRIAN,10,39
LOCRIAN,10,196
LOCRIAN,10,1032
LOCRIAN,10,159
LOCRIAN,10,21
LOCRIAN,10,139
LOCRIAN,10,952
LOCRIAN,10,217
LOCRIAN,10,606
LOCRIAN,10,95
LOCRIAN,10,82
LOCRIAN,10,152
LOCRIAN,10,0
LOCRIAN,10,62
LOCRIAN,10,235
LOCRIAN,10,666
LOCRIAN,10,315
LOCRIAN,10,336
LOCRIAN,10,176
LOCRIAN,10,55
LOCRIAN,10,169
LOCRIAN,10,479
LOCRIAN,10,185
LOCRIAN,10,94
LOCRIAN,10,70
LOCRIAN,10,251
LOCRIAN,10,297
LOCRIAN,10,77
LOCRIAN,10,321
LOCRIAN,10,318
LOCRIAN,10,109
LOCRIAN,10,79
